rms,label
0.010223531627139742,0
0.010005250861173518,0
0.011018661141833096,0
0.010258098105463668,0
0.011002672720764228,0
0.009118974865089812,0
0.009195579579783376,0
0.009669413871270925,0
0.011205533807833361,0
0.012744099915034859,1
0.013230380510157302,1
0.006125561954948268,1
0.010462693250857654,1
0.012205090889883734,1
0.01376214752260946,1
0.012403142338532406,0
0.008973545703911243,0
0.009178171796617543,0
0.008519566145283725,0
0.00805416675622316,0
0.007655402178174097,0
0.011515139810726565,0
0.01463468604473321,0
0.01121410301419901,0
0.012242717368588384,0
0.009507978680516217,0
0.011817857712065623,1
0.013566507135990771,1
0.011060174323782083,1
0.015076351623243675,1
0.008995769760613809,1
0.013195247652105576,1
0.00981143161522627,1
0.009336167181265181,0
0.013936957551164928,0
0.01443463214933067,0
0.016296352691115942,0
0.009767366104858724,0
0.007857835712568638,0
0.0017562256038434283,0
0.0011563809237602732,0
0.001174645566405609,0
0.0013738136734520322,0
0.004552751158413361,0
0.011458833031398987,1
0.0065045138031326255,1
0.005400658862805965,1
0.0051572452377085095,1
0.0032106056438222608,1
0.005294706536971531,1
0.001110886741688706,0
0.0015510599744645742,0
0.0008315072632963794,0
0.001311175413529044,0
0.001202977552622939,0
0.002401965125345574,0
0.0021839308239372896,0
0.0014726967846788064,0
0.000927455827967231,0
0.0027637123535725226,0
0.022429151948769026,0
0.015510582537886512,1
0.024833626770639067,1
0.010166842875791114,1
0.007421943179726417,1
0.005130981753062973,1
0.006582695164754035,1
0.0008578900710555077,1
0.002127830913704479,0
0.0018350391166056619,0
0.0020290106678424917,0
0.002751239602893498,0
0.00112406188858035,0
0.0032128583383698997,0
0.004465870209945521,0
0.0020721758841618127,1
0.0028770594069253185,1
0.008261524700376183,1
0.008098705839314787,1
0.004400211379830692,1
0.006335627805158652,1
0.0031245118992302384,1
0.0036125416628738473,1
0.001431935203717069,1
0.0017206755063147836,0
0.002327647735675439,0
0.0016788332790133695,0
0.0011969481118639235,0
0.0009893278226757974,0
0.0020158519516822434,0
0.0012454764444348439,0
0.002078476917795979,0
0.0053356510650698465,0
0.008227377891879838,1
0.007609581118724151,1
0.00940771273937111,1
0.010858451854178568,1
0.0055024932818311815,1
0.003185259879807707,1
0.005039555383316581,1
0.002394664815607002,0
0.005216707264523871,0
0.0019158225384173003,0
0.002488940459625706,0
0.002120920672302285,0
0.0034349606105685705,0
0.003620368720476378,0
0.0030349241363160978,0
0.003544257503469637,0
0.006137877770049546,1
0.014672877213838498,1
0.00961771237453211,1
0.012487977532570289,1
0.00589225209998819,1
0.00399050485610992,1
0.0017271939714593246,1
0.004004633212709334,1
0.0020655170938366657,1
0.0007946024601312157,0
0.0010288865900917503,0
0.000926711046348407,0
0.0014370857723969206,0
0.0009483632476815215,0
0.001952891690273613,0
0.001939253723870615,0
0.0020784817746606716,0
0.001691308980516769,0
0.003669269852929335,1
0.00831068986826747,1
0.006074775818897559,1
0.007115368433984257,1
0.005119487768983751,1
0.0036980386776125384,1
0.003947711611653566,1
0.0010601657100359017,1
0.0028580679042234046,1
0.0010023577218610377,0
0.0028063452994036755,0
0.002452237712890351,0
0.0014433121898129201,0
0.0038246663643180024,0
0.0008773434970590767,0
0.004345003089079641,1
0.006333916149195747,1
0.012094559431773072,1
0.005117054886356181,1
0.007819589968413662,1
0.004162059916353082,1
0.0021848208309363485,1
0.0017557866047902709,1
0.0038365429253389475,1
0.0008675354573725022,0
0.0008155994741262369,0
0.0006235849580517494,0
0.0011103248971712923,0
0.001593318504258924,0
0.0011229718854708663,0
0.001558251336417719,0
0.0023852675675457053,0
0.00484624751844315,0
0.01755704747775458,1
0.009259468658579576,1
0.005223143092401408,1
0.005366641387986097,1
0.005263092073237123,1
0.0019456106843671731,1
0.0007929829452308818,1
0.0009361638746969077,0
0.000659960200307867,0
0.000756032841495568,0
0.0010873802663398887,0
0.0005837385855364871,0
0.0020767925301022534,0
0.0017674459348377804,0
0.0006335055752242062,0
0.0009626747232847333,0
0.0013821320192747837,0
0.0032952864885228395,1
0.014713602631946163,1
0.005978860859613465,1
0.0030620959942781675,1
0.0024496266203913085,0
0.001750176328442107,0
0.0014673898037584551,0
0.0007990224250414497,0
0.0016704256637737611,0
0.0013755728856965107,0
0.0012543323279007137,0
0.0006048375326775096,0
0.0004500287945289425,0
0.00090185767282649,0
0.0020833435669395522,0
0.0007271357631355576,0
0.004343439661787602,1
0.004378929459532371,1
0.005951176373630692,1
0.002581024022985635,1
0.002387196011470258,1
0.0010278833552072777,1
0.0008649534414334154,1
0.0023534814752342466,0
0.001446650324236711,0
0.0005475710588742994,0
0.00013659323408353574,0
0.0001964101357374825,0
0.0015038568541393142,0
